iter	Passed	Remaining
567	7367	3009
568	7381	2996
569	7393	2983
570	7411	2972
571	7426	2960
572	7441	2947
573	7452	2934
574	7462	2920
575	7476	2907
576	7488	2894
577	7499	2880
578	7511	2867
579	7528	2855
580	7540	2842
581	7552	2829
582	7570	2817
583	7587	2806
584	7601	2793
585	7615	2781
586	7635	2770
587	7649	2758
588	7663	2745
589	7683	2734
590	7700	2723
591	7718	2711
592	7735	2700
593	7761	2691
594	7774	2678
595	7791	2666
596	7808	2655
597	7821	2641
598	7840	2630
599	7853	2617
600	7872	2606
601	7890	2595
602	7902	2581
603	7921	2570
604	7940	2559
605	7962	2548
606	7983	2538
607	8004	2527
608	8020	2515
609	8039	2504
610	8051	2490
611	8064	2477
612	8075	2463
613	8087	2449
614	8119	2442
615	8138	2430
616	8154	2418
617	8170	2406
618	8191	2395
619	8205	2382
620	8222	2370
621	8246	2359
622	8258	2346
623	8271	2333
624	8286	2320
625	8298	2306
626	8318	2295
627	8339	2284
628	8351	2270
629	8365	2257
630	8379	2244
631	8399	2232
632	8415	2220
633	8431	2207
634	8440	2193
635	8455	2180
636	8469	2167
637	8480	2153
638	8492	2139
639	8508	2127
640	8523	2114
641	8538	2101
642	8553	2088
643	8569	2075
644	8585	2063
645	8602	2050
646	8618	2038
647	8631	2024
648	8645	2011
649	8661	1998
650	8672	1984
651	8683	1971
652	8697	1958
653	8712	1944
654	8732	1933
655	8749	1920
656	8770	1908
657	8793	1897
658	8815	1886
659	8833	1873
660	8853	1861
661	8879	1851
662	8896	1838
663	8914	1825
664	8933	1813
665	8942	1799
666	8954	1785
667	8976	1773
668	8993	1761
669	9006	1747
670	9024	1734
671	9046	1723
672	9058	1709
673	9073	1696
674	9091	1683
675	9117	1672
676	9131	1659
677	9149	1646
678	9160	1632
679	9170	1618
680	9188	1605
681	9201	1592
682	9219	1579
683	9232	1565
684	9250	1553
685	9265	1539
686	9286	1527
687	9300	1513
688	9325	1502
689	9341	1489
690	9354	1475
691	9371	1462
692	9391	1450
693	9402	1436
694	9420	1423
695	9438	1410
696	9451	1396
697	9468	1383
698	9484	1370
699	9501	1357
700	9514	1343
701	9528	1330
702	9550	1317
703	9564	1304
704	9572	1289
705	9580	1275
706	9598	1262
707	9619	1250
708	9634	1236
709	9646	1222
710	9658	1208
711	9675	1195
712	9694	1182
713	9717	1170
714	9727	1156
715	9740	1142
716	9755	1129
717	9777	1116
718	9789	1102
719	9798	1088
720	9812	1075
721	9824	1061
722	9837	1047
723	9851	1034
724	9867	1020
725	9882	1007
726	9894	993
727	9906	979
728	9923	966
729	9931	952
730	9942	938
731	9955	924
732	9973	911
733	9984	897
734	9998	884
735	10016	871
736	10033	857
737	10052	844
738	10064	830
739	10078	817
740	10095	803
741	10116	790
742	10130	777
743	10151	764
744	10163	750
745	10180	736
746	10195	723
747	10208	709
748	10223	696
749	10240	682
750	10260	669
751	10280	656
752	10290	642
753	10306	628
754	10317	614
755	10331	601
756	10347	587
757	10363	574
758	10373	560
759	10391	546
760	10410	533
761	10429	520
762	10445	506
763	10464	493
764	10483	479
765	10501	466
766	10520	452
767	10534	438
768	10545	425
769	10555	411
770	10571	397
771	10585	383
772	10595	370
773	10608	356
774	10626	342
775	10637	328
776	10647	315
777	10666	301
778	10678	287
779	10699	274
780	10713	260
781	10725	246
782	10741	233
783	10754	219
784	10764	205
785	10775	191
786	10788	178
787	10801	788	788	10821	150
789	10837	137
790	10857	123
791	10876	109
792	10899	96
793	10906	82
794	10914	68
795	10921	54
796	10929	41
797	10936	27
798	10943	13
799	10950	0
	54
796	10810	40
797	10818	27
798	10826	13
799	10834	0
